Keyword,Must include keywords,Must include condition,Must exclude keywords,Recommended Reply
getmagic,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
Receptionist,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
zirtual,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
belay,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
remote team,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
content writer,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
Remote team,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
Content writer,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
Zirtual,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
hire virtual,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
receptionist,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
Data entry,"where can I, recommend, refer, in search of, ISO, looking for, hire , hiring, where can I, I need, what is the best, what's the best",All keywords, , 
